@relation 'bookkeeperdataset-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 16 -O-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute Buggy=YES numeric
@attribute AVG_LOC numeric
@attribute LOC_added numeric
@attribute NAuth numeric
@attribute NFix numeric
@attribute NR numeric
@attribute LOC_touched numeric
@attribute MAX_LOC numeric
@attribute Churn numeric
@attribute WeightedAge numeric
@attribute MAX_Churn numeric
@attribute Age numeric
@attribute AVG_ChgSet numeric
@attribute MAX_ChgSets numeric
@attribute ChgSetSize numeric
@attribute AVG_Churn numeric
@attribute LOC numeric

@data
-0.053651,144.681912,153.83933,1.871877,-0.000003,1.123594,97.761374,153.83933,209.917286,16.991559,221.12845,28.037329,239.807416,286.357347,394.266304,93.887347,158.593688
-0.089008,74.393367,39.20349,0.968741,-0.001181,1.151831,23.985562,39.20349,54.421418,7.502495,40.796677,-1.66961,229.917984,268.377216,355.879511,-33.679367,68.271563
-0.056682,55.383439,30.091944,1.867446,-0.000038,1.127982,-34.263238,30.091944,94.447126,17.333839,89.838199,28.192864,241.588813,286.643429,390.16484,1.668404,49.206686
-0.031235,135.893532,142.38836,2.021502,0.000625,1.076354,96.277642,142.38836,188.499077,25.982873,198.530068,35.83022,246.163375,294.233501,405.533607,79.555076,97.492375
0.011869,119.824669,128.574983,2.626491,0.001576,1.065372,55.845745,128.574983,201.304221,27.094596,214.323021,53.506206,239.029664,288.363518,402.427631,94.1005,92.893793
0.004535,107.542164,108.95375,2.621417,0.001258,1.071718,41.652572,108.95375,176.254928,24.422086,185.090626,52.471932,234.885084,282.755217,393.083378,74.325388,84.496293
-0.031157,132.740502,138.019813,2.021122,0.000626,1.076189,91.691338,138.019813,184.348289,26.041636,193.821529,35.845647,246.241095,294.26104,405.411817,76.254701,93.54713
-0.089041,75.934719,41.166723,0.968683,-0.001183,1.151974,26.614548,41.166723,55.718897,7.501237,42.251592,-1.673585,229.916603,268.382824,355.905598,-32.647996,70.411517
-0.049688,251.333592,302.17605,1.877363,0.000041,1.117786,254.279993,302.17605,350.072106,16.569089,380.562042,27.844401,237.627936,286.028935,399.369416,205.803459,291.36473
-0.011851,54.371456,28.853255,2.018308,0.000158,1.026165,-14.851539,28.853255,72.558049,19.567278,66.448834,33.465965,219.155264,260.214733,353.881867,-7.271245,25.452362
-0.09012,126.799333,105.953401,0.96677,-0.001253,1.15667,113.371105,105.953401,98.535698,7.459733,90.263795,-1.804776,229.871052,268.567904,356.766469,1.387225,141.029989
-0.056795,50.644937,23.515211,1.86714,-0.000039,1.12813,-41.223922,23.515211,88.254344,17.366211,82.798749,28.204224,241.688774,286.663562,389.950117,-3.2727,43.336232
-0.08963,103.679054,76.504911,0.96764,-0.001221,1.154535,73.936306,76.504911,79.073516,7.478599,68.440067,-1.745144,229.891757,268.483777,356.375164,-14.08333,108.930684
-0.088747,62.062552,23.497628,0.969205,-0.001164,1.150693,2.953669,23.497628,44.041587,7.512557,29.157355,-1.637806,229.929026,268.332348,355.670816,-41.930329,51.151934
-0.088763,62.833228,24.479245,0.969176,-0.001165,1.150764,4.268163,24.479245,44.690327,7.511928,29.884813,-1.639794,229.928336,268.335152,355.683859,-41.414644,52.22191
-0.056881,45.907467,16.941236,1.866804,-0.000041,1.128233,-48.175239,16.941236,82.057711,17.405015,75.756605,28.216943,241.790651,286.686137,389.739088,-8.214894,37.46031
0.833099,475.631738,605.114252,2.756971,-0.000237,1.382131,531.73614,605.114252,678.492364,37.983547,754.667341,45.557096,203.640167,259.866228,385.28208,479.67303,590.462842
-0.054335,85.770493,68.76352,1.863468,-0.000013,1.124047,19.500815,68.76352,118.026226,18.189865,116.36587,28.374077,241.594673,286.792257,390.692736,20.884692,71.295847
-0.056881,45.907467,16.941236,1.866804,-0.000041,1.128233,-48.175239,16.941236,82.057711,17.405015,75.756605,28.216943,241.790651,286.686137,389.739088,-8.214894,37.46031
-0.05614,73.552072,55.314435,1.868489,-0.000032,1.12722,-7.540936,55.314435,118.169807,17.236991,116.811348,28.155071,241.213749,286.576597,391.003598,20.604681,71.68693
-0.056142,53.868241,27.539861,1.866138,-0.000033,1.12701,-35.164995,27.539861,90.244716,17.573881,85.047551,28.248947,241.733483,286.720312,390.032756,-1.603835,45.163193
-0.054877,84.856101,68.663414,1.865363,-0.000018,1.125032,15.122033,68.663414,122.204795,17.847006,121.20886,28.29273,241.399969,286.705562,390.937407,24.086044,75.34295
-0.032023,141.353013,157.134666,2.03272,0.000633,1.078533,86.39754,157.134666,227.871791,24.27345,244.011823,35.424283,244.827953,293.760123,407.674623,110.268828,143.961687
-0.055931,79.872393,64.089603,1.868828,-0.000029,1.12692,1.761003,64.089603,126.418203,17.208266,126.191235,28.142973,241.08477,286.555235,391.29819,27.190371,79.501928
0.849222,308.030836,382.047242,2.762848,0.000241,1.361298,269.17399,382.047242,494.920494,41.755391,547.925084,47.182061,207.1777,262.004074,383.044678,333.974387,403.36537
-0.055718,83.846651,69.372553,1.868677,-0.000027,1.126579,8.210545,69.372553,130.53456,17.254537,130.852691,28.150914,241.044814,286.557833,391.423101,30.502374,83.385813
-0.03211,139.340847,155.634956,2.034394,0.000635,1.078801,80.266408,155.634956,231.003504,24.0178,247.710058,35.365091,244.660631,293.699545,407.940733,112.651204,148.563301
-0.02361,718.810649,932.6876,2.041445,0.000714,1.0669,995.746334,932.6876,869.628866,24.176079,970.383127,34.995305,236.347079,292.102432,425.910118,624.158631,721.20703
-0.055766,82.266736,67.179202,1.868587,-0.000027,1.126647,5.886558,67.179202,128.471846,17.262746,128.507289,28.154156,241.077365,286.563564,391.350044,28.855777,81.431189
-0.033802,87.137914,83.342832,2.031805,0.000616,1.081241,2.994834,83.342832,163.69083,24.226223,171.185544,35.457905,245.698875,293.86978,405.56405,58.893284,85.018409
-0.088665,58.209172,18.589547,0.96935,-0.001158,1.150337,-3.618797,18.589547,40.79789,7.515701,25.520067,-1.627867,229.932477,268.318327,355.605598,-44.508755,45.802049
-0.024793,357.888349,457.591959,2.044009,0.000716,1.068111,405.556251,457.591959,509.627668,23.343388,564.40285,35.022262,240.443773,293.044043,417.725179,335.250408,410.675085
-0.089319,89.036211,57.8542,0.96819,-0.001201,1.153183,48.960934,57.8542,66.747467,7.490547,54.618372,-1.707377,229.90487,268.430496,356.127338,-23.881348,88.601123
-0.056292,68.812022,48.733571,1.868229,-0.000033,1.127437,-14.515654,48.733571,111.982796,17.259727,109.775934,28.164396,241.310838,286.593071,390.783339,15.665212,65.824668
-0.055134,98.134308,88.498109,1.868505,-0.00002,1.125674,30.99991,88.498109,145.996309,17.349972,148.368173,28.163313,240.866862,286.545238,391.889574,42.913546,97.995812
-0.056901,44.328658,14.750836,1.866682,-0.000041,1.128252,-50.489203,14.750836,79.990874,17.420106,73.40832,28.221638,241.825253,286.694481,389.669985,-9.862658,35.499836
-0.055694,84.636617,70.46925,1.868722,-0.000027,1.126545,9.372613,70.46925,131.565887,17.250483,132.025371,28.149304,241.028554,286.554987,391.459659,31.325663,84.363081
-0.01819,598.81883,787.222364,2.051997,0.000786,1.058526,771.489405,787.222364,802.955323,22.87938,897.367399,34.720749,236.194972,292.346034,427.418517,569.779034,682.619123
-0.055734,75.208507,56.914808,1.86736,-0.000028,1.1265,-3.270016,56.914808,117.099633,17.448536,115.542488,28.204055,241.311235,286.628998,390.914586,19.834524,70.617064
