@relation 'bookkeeperdataset-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute AVG_Churn numeric
@attribute AVG_ChgSet numeric
@attribute WeightedAge numeric
@attribute Buggy {NO,YES}

@data
0,0,0,NO
10,3,58,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
2,2,61,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
18.4,15.2,36.959274,YES
0,0,0,NO
0.5,15.5,28.714285,YES
156,26,28,NO
1,37,36,YES
0,0,0,NO
0,5,30,YES
64.75,12.75,27.501558,YES
39.333332,7.333334,17.979452,YES
1,16,27,YES
10.75,11.75,18.070423,YES
0,0,0,NO
0,0,0,NO
8.5,12,26.5,YES
44.666668,6,20.948149,YES
91.333336,7,18.252525,YES
12,4,24,YES
0,0,0,NO
14.25,10.25,20.058823,YES
-7.5,6.5,14.058824,YES
2,4.5,15.963636,YES
5,26,23,NO
3,6,7,YES
0,26,23,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
-4,12,0,YES
-2,12,15,YES
0,12,15,YES
39,6.375,18.692858,YES
0,13,0,NO
0,3,0,NO
86,4,4.115607,NO
101,8.666667,7.794872,YES
51.5,10.5,5.047619,NO
32,10.5,5,NO
53,11.5,3.018868,NO
0,14,0,NO
0,14,0,NO
0,14,0,NO
0,14,0,NO
398,16,7.722591,YES
424.5,22.5,7.032864,YES
1035,22.5,7.09396,YES
0,8,0,NO
356,22.5,7,YES
157.33333,8.666667,4.058824,YES
516.1111,9.222222,5.037306,YES
0,6,0,NO
320.25,13.5,4.158445,YES
221.6,11.4,4.75173,YES
166,9,1.008955,YES
464.42856,9,5.27577,YES
317.66666,13,0,YES
0,7,0,NO
200.33333,7,3.972625,YES
265.5,9,4.176471,NO
438,6.8,8.132574,YES
213,6.5,6.08149,YES
195.5,13.5,5.088161,YES
309.5,11,1.560386,YES
144,9.333333,6.039352,YES
0,26,0,NO
665,15,4.003005,NO
338,9.666667,2.017561,YES
0,5,0,NO
0,5,0,NO
0,5,0,NO
0,3,0,NO
759.1429,8.571428,4.151937,YES
0,7,0,NO
67.5,8.5,1.552448,NO
100.5,8.5,1.532468,NO
52.5,8.5,1.527778,NO
51,27,3.533981,YES
0,17,0,NO
0,17,0,NO
0,17,0,NO
190.5,27,3.527415,YES
0,17,0,NO
0,17,0,NO
170.66667,4.666666,3.691406,YES
0,7,0,NO
0,7,0,NO
0,7,0,NO
0,3,0,NO
186,9,2.601266,YES
0,10,0,NO
560,13.666667,1.698525,YES
0,1,0,NO
0,8,0,NO
0,8,0,NO
0,7,0,NO
0,0,0,NO
-11,2,75,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
25.5,17.5,78.333336,YES
49.333332,15.666667,80.960266,YES
2,18,69,YES
1.5,29.5,73.375,YES
1,18,69,YES
0,0,0,NO
0,0,0,NO
9,19.5,83,NO
-2,28,78,NO
26.666666,17.666666,86.8427,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
23.666666,25.666666,76.40714,YES
7,35.5,72.791664,NO
1.5,29,75.48,NO
